message_id,user_message,romanized_text,layer1_flags,openai_verdict,openai_issue_type,openai_reason
2465,"""میری زمین زرخیزہ.""",""" meri zameen zarkiza.""",,suspicious,phonetic_mismatch,'zarkiza' does not match 'زرخیزہ' well.
2468,"""ٹماٹے کی فصل اگانے کا سب سے اچھا بات ہے.""",“muttay ki fasal ugane ka sabse acha baat hai.”,,suspicious,phonetic_mismatch,'muttay' does not match 'ٹماٹے'.
2469,"""گنے کی فصل اگانے کی سب سے اچھی مہینے کون سا ہے؟""","""agne ki fasal ugane ki sabse achi mahine kon sa hai?",,suspicious,phonetic_mismatch,'agne' does not match 'گنے'.
2473,"""بجیر بھائی خیال رکھیے گا الافس.""",“Bjir bhai khayaal rakhiye ga Albs.”,,suspicious,phonetic_mismatch,'Albs' does not match 'الافس'.
2477,"""مشین میں نے تین اکتوبر کو گندم کی کاشتکاری دی گی. آپ کے اندازے کے مطابق اس کی کٹائی اور اگلے مراحل کب شروع گنا ہوں گے.""",“Mashin ma ne teen october ko gandum ki kashtkari de gi. aap k andazay ke mutabiq os ki katai aur aglay marahil kab shuru gina hoenge.,,suspicious,phonetic_mismatch,'gina hoenge' is garbled and not faithful.
2479,"""میریزمین زرخیزے.""",“ Merizman Zorkhize.,,suspicious,phonetic_mismatch,Output is heavily garbled and not a clear transliteration.
2483,"""پچیس ایکڑ پر کاشتکاری خاری گندم کی کاشتکاری خاری کے لیے مجھے کیا چیزیں دلکار ہیں.""",“patches acre par kashtkari khari gandum ki kashtkari khari ke liye mujhe kya cheezein dilkar hain.,,suspicious,phonetic_mismatch,'patches acre' and 'dilkar' are not faithful transliterations.
2485,"""میری زمین تحصیل لاہور میں موجود ہے. میں نے آلو کاشتکاری کیے ہیں. میں کدھر بیٹھ سکتا ہوں.""",""" meri zameen tehseel Lahore mein mojood hai. main ne aalo kashtkari kiye hain. main kidhar baith sakta hun.""",,suspicious,phonetic_mismatch,'kidhar baith sakta hun' does not match source meaning.
2491,"""بشیر مجھے کل کراچی کا ویدر بتاؤ.""",“Bshir mujhe kal Karachi ka widher batao.”,,suspicious,phonetic_mismatch,"'widher' is an English loanword, but 'kanchi' is garbled."
2493,"""اچھا مجھے کل کراچی کا موسم بتو.""",""" acha mujhe kal Karachi ka mausam battu.""",,suspicious,phonetic_mismatch,'battu' does not match 'بتو' well.
2497,"""ہری پل میں گندم کی کاشت کا ٹائم کب شروع ہو رہا ہے؟""","""hri pal mein gandum ki kaasht ka time kab shuru ho raha hai?",,suspicious,phonetic_mismatch,"'kaasht' is okay, but 'hri pal' is garbled."
2498,"""تحصیل ہری پور ہزارہ میں گندم کی کاشتاری کا وقت تب شروع ہو رہا ہے.""",""" Tehsil hari poor hzarh mein gandum ki kashtari ka waqt tab shuru ho raha hai.""",,suspicious,phonetic_mismatch,'hzarh' and 'kashtari' are garbled transliterations.
2503,"""بشیر میں اسلام آباد میں مکئی کی کاشت کرنا چاہ رہا ہوں. کون سا بیج میرے لیے موزور رہے گا؟""",“Bshir mein Islamabad mein makai ki kaasht karna chah raha hun. kon sa beej mere liye mozor rahega?,,suspicious,phonetic_mismatch,'mozor' does not match 'موزور' clearly.
2507,"""مکئی کے کون سے بیج کی کتنی پیداوار ہے.""",“Muki ke kon se beej ki kitni pedawar hai.”,,suspicious,phonetic_mismatch,'Muki' does not match 'مکئی'.
2508,"""السلام علیکم کیا حال ہے میں نے نا تین چار بکرے رکھے ہیں ان کو میں کون سا ورنڈا دوں جس سے ان کی سید بھی اچھی وزن بھی گروتھ کرے.""",“Lslam alaikum kya haal hai maine na teen chaar bakray rakhay hain unko main kon sa viranda dun jis se unki syed bhi achi wazan bhi groth kare.,,suspicious,phonetic_mismatch,'viranda' and 'syed' are garbled transliterations.
2511,"""نشیر صاحب کیا آرہے ہیں.""","""Nahir sahib kya arhay hain.""",,suspicious,phonetic_mismatch,'Nahir' does not match 'نشیر' well.
2516,"""اسلام آباد آباد کا موسم کیسا ہے آج بائرش ہوگی.""",""" Islamabad abad ka mausam kaisa hai aaj bierish hogi.""",,suspicious,phonetic_mismatch,'bierish' does not match 'بارئرش'/'بارش' clearly.
2521,"""بشیر بھائی میرا ویل خراب ہو گیا ہے کیسے ٹیپ ہوگا کہاں سے ٹھیک ہوگا کریں بتا سکتے ہیں اس بارے میں ٹیوب ویل کے بارے میں.""",“Bshir bhai mera wheel kharab ho gaya hai kaise tape hoga kahan se theek hoga karein bata sakte hain iss baare mein tube veel ke baare mein.”,,suspicious,phonetic_mismatch,'wheel' and 'tape' are wrong for 'ویل' and 'ٹیپ'.
2522,"""شیر بھائی متوقع بارشیاں ابھی کب تا مطاقہ ابھی کچھ مبارشیاں ہوں گی بسیار.""",“shir bhai mutawaqqa barishyan abhi kab taa mutabqa abhi kuch mubarishyan hun gi bisem.”,,suspicious,phonetic_mismatch,Several words are garbled and not faithful transliterations.
2524,"""السلام علیکم بشیر کیا حال ہیں اب مجھے تپاس کی فصل کے بارے میں بتو.""",“Lslam alaikum Basheer kya haal hain ab mujhe tapas ki fasal ke baare me battu.”,,suspicious,phonetic_mismatch,'tapas' does not match 'کپاس'.
2525,"""مجھے کپاس کی خصل کے بارے میں بتاؤ.""",""" mujhe cupas ki khsl ke baare mein batao.""",,suspicious,phonetic_mismatch,'khsl' is missing vowels and not a clear transliteration.
2527,"""بشیر آج کل بارشیں بہت ہو رہی ہیں تو میرے ویٹ کی فصلیں صحیح سے نہیں ہوں رہی ہیں. ہوں رہی ہیں. تو مجھے بتائیں میں کیا کروں.""",“Bshir aaj kal barishain bahut ho rahi hain to mere weight ki faslein sahi se nahi hoon rahi hain. hoon rahi hain. to mujhe bitai main kya karu.,,suspicious,phonetic_mismatch,'weight' is not a transliteration of 'ویٹ'.
2529,"""اچھا بشیر مجھے پڑنے کی پڑی میں آلو کا ریٹ بڑھو.""","""achha Basheer mujhe parne ki pari mein alalo ka rate badho.""",,suspicious,phonetic_mismatch,'alalo' does not match 'آلو'.
2530,"""اچھا یہ ریٹ کو غلط ہیں مجھے صحیح والے ریٹز دیتاؤ.""",""" accha yeh rate ko galat hain mujhe sahi walay rats detao.""",,suspicious,phonetic_mismatch,'rats' does not match 'ریٹز' phonetically.
2532,"""گنا کی فصل کے بارے میں کیا معلوم آتا ہے؟""","""agna ki fasal ke baare mein kya maloom aata hai? """,,suspicious,phonetic_mismatch,'agna' does not match 'گنا'.
2536,"""ہاں میں نے پوچھا ابھی سیال کورڈ کے موسم کی کیا زرعال ہے. ابھی کیسا ہے موسم وہاں پہ. ہوں""","""han ma ne poochha abhi sale card ke mausam ki kya zar-aal hai. abhi kaisa hai mausam wahan pe. hoon.",,suspicious,phonetic_mismatch,"sale card and zar-aal don't match سیال کورڈ, زرعال."
2537,"""ہاں. اچھا دوست یہ بتاؤ ڈسکہ کی کیا صورتحال ہے. ہوں""","""haan. acha dost yeh batao diska ki kya sorat e haal hai. hun",,suspicious,phonetic_mismatch,"sorat e haal is fine, but diska matches ڈسکہ poorly as diska."
2538,"""السلام علیکم کیسے ہو آپ؟""","""slam alaikum kaise ho aap? """,,suspicious,phonetic_mismatch,slam omits initial 'a' from السلام.
2540,"""یار میں نے پوچھا ہے کہ پاکستان میں بھی جؤ کنگ کا ریٹ کیا نکلا ہے جؤ آدمی خرید تھا""","""Yar main ne poochha hai ke Pakistan mein bhi jo king ka rate kya nikla hai jo aadmi khareed tha.""",,suspicious,phonetic_mismatch,jo king doesn't match جؤ کنگ.
2542,"""بشیر تمہارا کیا حال ہے؟""",“Bshir tumhara kya haal hai?”,,suspicious,phonetic_mismatch,Bshir drops the vowel in بشیر.
2543,"""السلام علیکم کیسے ہو آپ""","""slam alaikum kaise ho aap""",,suspicious,phonetic_mismatch,slam omits initial 'a' from السلام.
2544,"""اچھا مجھے بتاؤ کہ آپ کون کون سی چیزوں کے بارے میں مجھے بتا سکتے ہیں.""",“achi mujhe btao ke aap kon kon si cheezon ke baare mein mujhe bata sakte hain.”,,suspicious,phonetic_mismatch,achi should be acha for اچھا.
2545,"""اچھا مجھے بتاؤ کہ میری گنا کی فصل کو لگائے ہوئے ابھی چالیس دن ہو گئے ہیں اور اس میں جڑی بوٹی ہیں. تو مجھے اس جڑی بوٹیاں کے تدارک کا حل بتاؤ.""",“acha mujhe btao ke meri gina ki fasal ko lagaye hue abhi chalees din ho gaye hain aur iss mein jari booti hain. to mujhe is jari bootiyan ke tadaruk ka hal btao.,,suspicious,phonetic_mismatch,gina and iss/is don't match گنا and اس.
2546,"""اچھا مجھے یہ بتاؤ کہ میری مکئی کی فصل میں جڑی بوٹی ہیں. تو مکئی کی فصل میں جڑی بوٹیاں کا تدارک کیسے کرنا چاہیے؟""",“achi mujhe yeh batao ke meri makai ki fasal mein jari booti hain. to makai ki fasal mein jari bootiyan ka tadaruk kaise karna chahiye?”,,suspicious,phonetic_mismatch,achi and iss/is don't match اچھا and اس.
2547,"""السلام علیکم کیسے ہو بشیر.""","""slam alaikum kaise ho Basheer.""",,suspicious,phonetic_mismatch,"Basheer is acceptable, but slam omits initial 'a'."
2548,"""یار میری گندم کی فصل پیلی ہو گئی ہے اس کی کیا وجہ ہو سکتی ہے؟""","""Yar meri gandum ki fasal peeli ho gayi hai iss ki kya wajah ho sakti hai?",,suspicious,phonetic_mismatch,"iss may be wrong, but main issue is no clear transliteration of اس."
2549,"""اچھا مجھے بتاؤ کہ اس کے لیے میں کون سا سپرے استعمال کر سکتا ہوں.""",“achi mujhe btao ke iss ke liye main kon sa spre use kar sakta hun.”,,suspicious,phonetic_mismatch,achi should be acha for اچھا.
2550,"""بشیر مجھے میرے علاقے کا موسم بتاؤ اگلے سات بنوں کا.""","""Bshir mujhe mere ilaqay ka mausam batao aglay saat banon ka.""",,suspicious,phonetic_mismatch,Bshir and banon don't match بشیر and بنوں.
2551,"""کیا میں اسلام آباد آباد میں کپاس اگاہ سکتا ہوں اور اس کو کس طرح کے درجہ حرارت کی ضرورت ہوتی ہے.""",""" kia mein Islamabad abad mein cupas ugah sakta hun aur iss ko kis tarah ke darja hararat ki zaroorat hoti hai.""",,suspicious,phonetic_mismatch,cupas and ugah don't match کپاس and اگاہ.
2553,"""گندم کاشت گنا کا بہترین وقت کون سا ہوتا ہے اور گری ہوئی گندم کی واسط کم ہوتی ہے زیادہ.""",""" gandum kasht gina ka behtareen waqt kon sa hota hai aur giri hui gandum ki vital kam hoti hai zyada.""",,suspicious,phonetic_mismatch,vital doesn't match واسط.
2555,"""گندم کاشت گنا کے طریقہ اور اس کو بننے میں کتنا ٹائم لگتا ہے کون سا موسم ہوتا ہے اس میں.""",""" gandum kaasht gina ke tareeqa aur iss ko banne mein kitna time lagta hai kon sa mausam hota hai iss mein.""",,suspicious,phonetic_mismatch,kaasht and gina don't match کاشت and گنا.
2557,"""سروزہ میں سرسوں کا ریٹ بتاؤں گا.""",“ Salosa mein sarson ka rate bataoonga.”,,suspicious,phonetic_mismatch,Salosa doesn't match سروزہ.
2559,"""یار بشیر کراچی منڈی میں چاول کا ریٹ تو بتاؤ.""",“Yar Basheer Karachi manndi mein chawal ka rate to batao.”,,suspicious,phonetic_mismatch,"Basheer spelling is off, but otherwise matches."
2562,"""مجھے کراچی منڈی میں سیب گاچا کا ریڈ بتاؤ.""",""" mujhe Karachi manndi mein saib gacha ka red batao.""",,suspicious,phonetic_mismatch,red should be rate for ریٹ.
2563,"""السلام علیکم بشیر کیا حال ہے؟""","""Lslam alaikum Basheer kya haal hai?",,suspicious,phonetic_mismatch,Lslam omits initial 'a' from السلام.
2564,"""آئیے سہولٹہ میں ابھی ایمپریشن جیسا ہے موسم جیسا ہے.""",""" aay saholtia mein abhi expansion jaisa hai mausam jaisa hai.""",,suspicious,phonetic_mismatch,expansion doesn't match ایمپریشن.
2565,"""السلام علیکم بشیر آج کا موسم بتاؤ.""","""Lslam alaikum Basheer aaj ka mausam batao.""",,suspicious,phonetic_mismatch,Lslam omits initial 'a' from السلام.
2566,"""گھام پور سادہ کے کھبوٹا کا موسم کیسا ہے آج؟""",“gam poor saada ke khbotha ka mausam kaisa hai aaj?”,,suspicious,phonetic_mismatch,gam poor and khbotha don't match گھام پور and کھبوٹا.
2568,"""السلام علیکم. کہوٹا کا مصمم کیسا ہے؟ کہوٹا تحصیل راولپنڈی کی دیسیٹ ہے.""",“Lslam alaikum. kahota ka musammam kaisa hai? kahota tehseel Rawalpindi ki set hai.,,suspicious,phonetic_mismatch,musammam and set don't match مصمم and دیسیٹ.
2569,"""یور اپ کی انفامیشن سے ہی نہیں ہے.""",""" ever upki information se hi nahi hai.""",,suspicious,phonetic_mismatch,ever doesn't match یور.
2570,"""آسان بورک آسان سیاہ ہے.""","""asen bock asaan siyah hai.""",,suspicious,phonetic_mismatch,asen and bock don't match آسان and بورک.
2573,"""بشیر تارپ تھانڈ موسم دی کے سوچیں آل""","""Bshir tarp thand mausam di ke sochen all""",,suspicious,phonetic_mismatch,Bshir and all don't match بشیر and آل.
2575,"""وعلیکم السلام بھائی یہ پوچھنا ہے کہ آج کل گندم کا کیا ریڈ چل رہا ہے.""",“Waleikum salam bhai yeh poochna hai ke aaj kal gandum ka kya red chal raha hai.”,,suspicious,phonetic_mismatch,red should be rate for ریڈ.
2576,"""اچھا جؤ دوسرا سوال یہ کہ ملیشی بیت بکری کے کے آرے چاہے جؤ اچھا پارو ہے چوہتر پچاس ہزار ہوا. ہوں""","""achha jo doosra sawal yeh ke malishi beeet bakri ke ke aaray chahe jo acha parro hai chohtr pachaas hazaar hua. hun.""",,suspicious,phonetic_mismatch,"malishi, aaray, parro don't match the Urdu words."
2577,"""بہت مہتر ملے""",“bhat mohtar milay”,,suspicious,phonetic_mismatch,bhat and mohtar don't match بہت and مہتر.
2578,"""اوے بشیر تمہاری ماں کیا مبیشی ہے.""",“WAY Basheer tumhari maa kya mbishi hai.”,,suspicious,phonetic_mismatch,WAY and mbishi don't match اوے and مبیشی.
2580,"""جی بتاؤ میرے علاقے میں اگلے عفتے کیا ایسا موسم ہو گا.""",“ji batao mere ilaqay mein aglay iftay kya aisa mausam hoga.”,,suspicious,phonetic_mismatch,iftay doesn't match عفتے.
2581,"""یہ ایک دلے کو کتنی ٹینک لگتی ہے. وہ بتا سکتے ہیں.""",“Y aik dily ko kitni tank lagti hai. wo bata sakte hain.”,,suspicious,phonetic_mismatch,dily and tank don't match دلے and ٹینک.
2582,"""زیلا او کاڑا کی صورت و علم دا سکتے ہیں.""",“Zila o kaara ki soorat o ilm da sakte hain.”,,suspicious,phonetic_mismatch,kaara and ilm don't match کاڑا and علم.
2584,"""السلام علیکم کسان صاحب بارش کا سلسلہ کب تک جاری رہے گا؟""",“Lslam alaikum kisan sahib barish ka silsila kab tak jari rahega?”,,suspicious,phonetic_mismatch,Lslam omits initial 'a' from السلام.
2586,"""کاریٹ کیا ہے ڈھنبھاریٹ؟ ڈھنبھم کاریٹ.""",“art kya hai dhnbhart? dhnbham cart.”,,suspicious,phonetic_mismatch,art doesn't match کاریٹ.
2590,"""اس وقت جؤ پاکستان میں گندم آئی ہے جس کی کٹائی اور یہ اس کا فیڈ کیا ہے.""",“ iss waqt ju Pakistan mein gandum aayi hai jis ki katai aur yeh iss ka fid kya hai.”,,suspicious,phonetic_mismatch,fid doesn't match فیڈ.
2591,"""اٹے کی کی منزہ ڈھوڑے گی منزہ رندوں کی سیٹ میں پھلے.""",“atta ki ki munza dhode gi munza rindon ki set mein phalay.”,,suspicious,phonetic_mismatch,munza and rindon don't match منزہ and رندوں.
2592,"""السلام علیکم میں آپ کے ذریعے رحمان کی وفا""",“Lslam alaikum mein aap ke zariye Rehman ki wafa”,,suspicious,phonetic_mismatch,Lslam omits initial 'a' from السلام.
2593,"""السلام علیکم کیسے ہو؟""",""" salam alaikum kaise ho?",,suspicious,phonetic_mismatch,"salam should be salam/assalam, but output is missing initial 'a'."
2598,"""کیا چاہتے ہیں کہ بیٹھ پا گو. چاہتے ہیں کہ بیٹھ""",""" kya chahte hain ke baith pa go. chahte hain ke baith""",,suspicious,phonetic_mismatch,baith pa go doesn't match بیٹھ پا گو.
2600,"""نوسم کی تفصیلات آج""","Noosam ki tafseelaat aaj""",,suspicious,phonetic_mismatch,Noosam doesn't match نوسم.
2601,"""موسم کی تفصیلات""",“Museem ki tafseelaat”,,suspicious,phonetic_mismatch,Museem doesn't match موسم.
2602,"""اسلام آباد علیکم. موسم دے کی صورتحال ہے.""",""" Islamabad alaikum. mausam de ki sorat e haal hai.",,suspicious,phonetic_mismatch,Islamabad alaikum doesn't match اسلام آباد علیکم.
2603,"""السلام علیکم سائیوال میں موسم کی کیا صورتحال ہے.""","""Lslam alaikum sayal mein mausam ki kya sorat e haal hai.",,suspicious,phonetic_mismatch,Lslam omits initial 'a' from السلام.
2604,"""موسم کیسا رہے گا چوٹا لے میں اگلے چوبیس گھنٹے کے لیے.""",“MOSIM kaisa rahega chota le me aglay chobees ghante ke liye.”,,suspicious,phonetic_mismatch,MOSIM doesn't match موسم.
2605,"""تو ہے ایک جلہ جلہ چوٹا لکھ کا ہے ایک ایک دو چوبیس گھنٹے کی دیل.""",“to hai ek jalla jalla chota likh ka hai ek ek do chobees ghante ki dali.”,,suspicious,phonetic_mismatch,dali doesn't match دیل.
2606,"""ضلع جہلم چوٹالا کا موسم کیسا رہے گا اگلے چوبیس گھنٹے کے لیے.""",“dalay jehlum chootala ka mausam kaisa rahega aglay chobees ghante ke liye.”,,suspicious,phonetic_mismatch,dalay and chootala don't match ضلع جہلم and چوٹالا.
2607,"""السلام علیکم اشیر کیا ہنچا رہے ہیں ٹھیک تھا گو.""","""Lslam alaikum asser kya hancha rahe hain theek tha go.""",,suspicious,phonetic_mismatch,asser and hancha don't match اشیر and ہنچا.
2612,"""اج کل موسم کی کیا صورتحال ہے یہ بتا سکتے ہیں اپ بخیر.""",“aj kal mausam ki kya sorat e haal hai yeh bata sakte hain up baker.”,,suspicious,phonetic_mismatch,up baker doesn't match اپ بخیر.
2613,"""ٹو گھنڈا مکابکہ کرتی زیادی کیا آپ سے مقابلہ کر رہی ہے.""",“to ghunda mukaka karti zyadi kya aap se muqaabla kar rahi hai.”,,suspicious,phonetic_mismatch,ghunda and mukaka don't match گھنڈا and مکابکہ.
2615,"""موسم کی کیا ضرورت دیہال ہے.""",“musam ki kya zaroorat dehal hai.”,,suspicious,phonetic_mismatch,musam and dehal don't match موسم and دیہال.
2616,"""موسم کی تیر سے اٹھلے حالیں اب""",“momsm ki teer se uthle halain ab”,,suspicious,phonetic_mismatch,momsm and uthle don't match موسم and اٹھلے.
2617,"""کال کا موسم کا سہر ہے.""",“Kal ka mausam ka seher hai.”,,suspicious,phonetic_mismatch,seher doesn't match سہر.
2619,"""اچھا اسلام آباد آباد میں آج موسم کی کیا صورتحال ہے اور میری جؤ گندم کی فصل لگی ہوئی اور اس جس کو میں کاٹنا چاہ رہا ہوں اس کے لیے مجھے کیا کرنا چاہیے.""",""" acha Islamabad abad mein aaj mausam ki kya sorat e haal hai aur meri jo gandum ki fasal lagi hui aur iss jis ko mein kaatna chah raha hun is ke liye mujhe kya karna chahiye.",,suspicious,phonetic_mismatch,"iss/iss and abad are off, but main issue is missing words."
2623,"""مجھے یہ بتاؤ کہ آج کل موسم کی کیا سو روپے آجے ہیں.""",""" mujhe yeh batao ke aaj kal mausam ki kya so rupay aage hain.""",,suspicious,phonetic_mismatch,so rupay aage doesn't match سو روپے آجے ہیں.
2624,"""میری جؤ فصل ہے کپاس کی فصل ہے اور وہ اگ نہیں رہی میں کیا کروں.""","""Meri jo fasal hai kapaas ki fasal hai aur woh agg nahi rahi main kya karu.""",,suspicious,phonetic_mismatch,agg doesn't match اگ.
2626,"""دربوس کی فصل. دربوس کی فصل.""",""" darboos ki fasal. darbos ki fasal.""",,suspicious,phonetic_mismatch,boos and darbos don't match دربوس.
2628,"""تربوس کے فصل ٹیڑے ہونے اور مکھی لگنے کی صبرے.""",“Trabos ke fasal tery honay aur makhi lagne ki sabre.”,,suspicious,phonetic_mismatch,tery and sabre don't match ٹیڑے and صبرے.
2629,"""السلام علیکم بہرے خمس ہم کو پھر رہے گا بھلی.""",“Lslam alaikum baharay khms hum ko phir rahega bhali.”,,suspicious,phonetic_mismatch,baharay and khms don't match بہرے and خمس.
2630,"""ملے گو بشیر بھائی آہ ریمون جیل موسم کے بارے میں بسا ہے.""","""Mele go Basheer bhai aah Reemon jail mausam ke baare mein basa hai.""",,suspicious,phonetic_mismatch,Reemon jail doesn't match ریمون جیل.
2631,"""السلام علیکم. اس لگے بہت مبتا ہو.""",“Lslam alaikum. iss lage bahut mbada ho.”,,suspicious,phonetic_mismatch,iss lage and mbada don't match اس لگے and مبتا.
2634,"""آہ ہاں ہاں ہاں اے موسیقی""","""ah haan haan haan a moseeqi""",repeat_loop,suspicious,phonetic_mismatch,"moseeqi is fine, but output omits the repeated sounds structure."
2635,"""السلام علیکم. آج کل گندم کا ایک کیاریٹ چل رہا ہے.""","""Lslam alaikum. aaj kal gandum ka aik character chal raha hai.""",,suspicious,phonetic_mismatch,character doesn't match کیاریٹ.
